Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit
2024-04-12 00:00:00,North,Smartwatch,Hannah,15,1224,Accessories,18360,16451.63426,1908.365742
2024-12-14 00:00:00,North,Monitor,Eva,5,1321,Office,6605,4457.351727,2147.648273
2024-09-27 00:00:00,North,Mobile,Bob,11,912,Electronics,10032,6563.644126,3468.355874
2024-04-16 00:00:00,West,Monitor,Charlie,18,325,Office,5850,4320.807092,1529.192908
2024-03-12 00:00:00,West,Headphones,Eva,13,1042,Accessories,13546,8270.122666,5275.877334
2024-07-07 00:00:00,West,Monitor,Charlie,11,562,Office,6182,5177.519983,1004.480017
2024-01-21 00:00:00,West,Headphones,Charlie,14,336,Accessories,4704,4069.56211,634.4378896
2024-04-12 00:00:00,East,Camera,Grace,18,1149,Electronics,20682,16665.80191,4016.198085
2024-05-01 00:00:00,East,Laptop,Grace,19,1244,Electronics,23636,16081.89912,7554.10088
2024-08-02 00:00:00,South,Printer,Hannah,15,605,Office,9075,5780.290778,3294.709222
2024-11-26 00:00:00,West,Headphones,,9,1305,Accessories,11745,8393.485046,3351.514954
2024-03-28 00:00:00,East,Laptop,Eva,8,1834,Electronics,14672,12471.21007,2200.789933
2024-04-09 00:00:00,North,Smartwatch,Alice,1,913,Accessories,913,643.0700355,269.9299645
2024-12-25 00:00:00,West,Mobile,Charlie,4,866,Electronics,3464,2113.997353,1350.002647
2024-05-31 00:00:00,South,Smartwatch,David,14,,Accessories,,,
2024-05-10 00:00:00,South,Camera,Charlie,2,1666,Electronics,3332,2988.749632,343.2503682
2024-05-29 00:00:00,South,Monitor,Charlie,16,1438,Office,23008,18475.43842,4532.561581
2024-11-04 00:00:00,North,Monitor,Eva,3,1090,Office,3270,2845.738588,424.2614118
2024-09-14 00:00:00,East,Tablet,Charlie,8,1920,Electronics,15360,12786.57915,2573.420847
2024-12-09 00:00:00,North,Tablet,Frank,6,717,Electronics,4302,3277.743938,1024.256062
2024-10-20 00:00:00,West,Tablet,Charlie,16,1859,Electronics,29744,19173.18055,10570.81945
2024-07-10 00:00:00,South,Smartwatch,Frank,16,372,Accessories,5952,4193.739581,1758.260419
2024-10-03 00:00:00,North,Headphones,Grace,7,331,Accessories,2317,1795.957831,521.0421694
2024-06-09 00:00:00,North,Mobile,David,13,1543,Electronics,20059,17274.60428,2784.395715
2024-11-09 00:00:00,East,Tablet,Hannah,13,867,Electronics,11271,7671.070933,3599.929067
2024-01-22 00:00:00,East,Camera,Eva,5,1565,Electronics,7825,4979.580076,2845.419924
2024-09-09 00:00:00,South,Camera,Charlie,18,595,Electronics,10710,8221.528236,2488.471764
2024-08-23 00:00:00,North,,Frank,15,1147,Electronics,17205,11234.01106,5970.98894
2024-12-10 00:00:00,North,Monitor,Frank,18,1232,Office,22176,17366.21478,4809.785221
2024-02-18 00:00:00,East,Tablet,Grace,2,1826,Electronics,3652,2479.914092,1172.085908
2024-02-28 00:00:00,North,Mobile,Frank,10,601,Electronics,6010,4022.426297,1987.573703
2024-06-18 00:00:00,North,Tablet,Hannah,13,1982,Electronics,25766,18545.18748,7220.812523
2024-07-06 00:00:00,North,Mobile,Bob,18,124,Electronics,2232,1736.401201,495.5987991
2024-09-27 00:00:00,East,Camera,Alice,15,1310,Electronics,19650,15004.64768,4645.352318
2024-07-08 00:00:00,South,Tablet,Hannah,,387,Electronics,,,
2024-06-23 00:00:00,West,Smartwatch,David,15,1751,Accessories,26265,22780.55384,3484.446164
2024-02-20 00:00:00,South,Printer,Hannah,13,437,Office,5681,3595.871841,2085.128159
2024-12-29 00:00:00,West,Smartwatch,Grace,18,1160,Accessories,20880,12775.22482,8104.775185
2024-02-24 00:00:00,North,Camera,Grace,15,1917,Electronics,28755,22452.24563,6302.754367
2024-08-31 00:00:00,South,Mobile,Hannah,11,236,Electronics,2596,1653.709502,942.2904975
2024-11-15 00:00:00,West,Smartwatch,Charlie,19,607,Accessories,11533,8666.671728,2866.328272
2024-05-10 00:00:00,East,Mobile,Bob,3,326,Electronics,978,866.0502816,111.9497184
2024-11-02 00:00:00,East,Smartwatch,Charlie,7,419,Accessories,2933,2374.480781,558.5192191
2024-05-14 00:00:00,South,Smartwatch,Charlie,14,1963,Accessories,27482,21579.88252,5902.117477
2024-01-21 00:00:00,South,Mobile,Hannah,14,1015,Electronics,14210,10976.39467,3233.605326
2024-11-24 00:00:00,North,Headphones,Eva,13,1305,Accessories,16965,11092.76502,5872.234976
2024-06-15 00:00:00,South,Smartwatch,Eva,12,1997,Accessories,23964,17488.79174,6475.208259
2024-09-30 00:00:00,North,Tablet,Eva,9,185,Electronics,1665,1170.090492,494.9095081
2024-03-29 00:00:00,North,Printer,Bob,1,1590,Office,1590,1408.616452,181.3835483
2024-11-11 00:00:00,East,Camera,Charlie,19,1025,Electronics,19475,13100.75595,6374.244048
2024-01-14 00:00:00,East,Headphones,Alice,11,152,Accessories,1672,1239.712612,432.2873881
2024-08-29 00:00:00,West,Mobile,David,19,959,Electronics,18221,16060.42322,2160.576777
2024-09-21 00:00:00,East,Headphones,Eva,18,966,Accessories,17388,14549.48196,2838.518045
2024-12-11 00:00:00,East,,Eva,,1358,Electronics,,,
2024-02-22 00:00:00,South,Laptop,Grace,1,1902,Electronics,1902,1488.313244,413.6867564
2024-12-05 00:00:00,East,Smartwatch,Charlie,19,1922,Accessories,36518,25567.56851,10950.43149
2024-04-01 00:00:00,West,,Charlie,17,532,Accessories,9044,7669.266171,1374.733829
2024-09-20 00:00:00,South,Tablet,Bob,5,1619,Electronics,8095,5564.801555,2530.198445
2024-02-04 00:00:00,West,Printer,Bob,3,1098,Office,3294,2139.228483,1154.771517
2024-07-24 00:00:00,East,Camera,Eva,2,199,Electronics,398,323.1308844,74.8691156
2024-03-21 00:00:00,West,Headphones,Charlie,3,1089,Accessories,3267,2586.440446,680.5595542
2024-02-19 00:00:00,South,Laptop,Alice,8,698,Electronics,5584,4822.815202,761.1847984
2024-12-25 00:00:00,North,Smartwatch,David,16,502,Accessories,8032,7137.053896,894.9461036
2024-01-02 00:00:00,West,Monitor,Hannah,6,495,Office,2970,2545.76305,424.2369498
2024-02-23 00:00:00,West,Monitor,Charlie,13,1650,Office,21450,13256.24027,8193.759733
2024-04-15 00:00:00,South,Camera,Grace,16,514,Electronics,8224,6573.887542,1650.112458
2024-09-16 00:00:00,South,Headphones,Hannah,16,1038,Accessories,16608,13874.65077,2733.349226
2024-11-05 00:00:00,West,Smartwatch,Charlie,3,1736,Accessories,5208,4658.965439,549.0345611
2024-07-09 00:00:00,East,Smartwatch,Frank,13,776,Accessories,10088,7186.674957,2901.325043
2024-08-05 00:00:00,West,Laptop,Bob,14,562,Electronics,7868,5121.788499,2746.211501
2024-02-13 00:00:00,South,Laptop,Grace,8,640,Electronics,5120,4382.105183,737.8948171
2024-06-10 00:00:00,North,Smartwatch,David,12,1749,Accessories,20988,14591.6976,6396.302395
2024-07-20 00:00:00,North,Mobile,Eva,8,1742,Electronics,13936,10862.56249,3073.437514
2024-09-26 00:00:00,East,Smartwatch,Grace,9,1487,Accessories,13383,9595.188489,3787.811511
2024-12-16 00:00:00,West,Camera,Charlie,1,1253,Electronics,1253,903.0344399,349.9655601
2024-10-30 00:00:00,North,Smartwatch,Eva,6,183,Accessories,1098,900.0737994,197.9262006
2024-09-27 00:00:00,West,Tablet,Charlie,19,370,Electronics,7030,4980.351039,2049.648961
2024-08-02 00:00:00,South,Printer,Eva,11,343,Office,3773,3048.29172,724.7082796
2024-09-08 00:00:00,North,Tablet,David,11,487,Electronics,5357,3237.227261,2119.772739
2024-07-08 00:00:00,East,Tablet,Bob,13,313,Electronics,4069,2837.697069,1231.302931
2024-10-22 00:00:00,South,Mobile,David,11,917,Electronics,10087,7017.659143,3069.340857
2024-07-31 00:00:00,East,Mobile,Frank,18,1289,Electronics,23202,19133.54289,4068.457109
2024-07-26 00:00:00,South,Monitor,Alice,15,1914,Office,28710,19935.28044,8774.71956
2024-08-24 00:00:00,North,Smartwatch,Bob,1,158,Accessories,158,124.8197061,33.18029393
2024-12-03 00:00:00,East,Tablet,David,7,1725,Electronics,12075,9739.179647,2335.820353
2024-02-22 00:00:00,East,Mobile,Frank,13,982,Electronics,12766,10181.23815,2584.761851
2024-10-06 00:00:00,South,Laptop,Alice,12,942,Electronics,11304,8828.289531,2475.710469
2024-08-04 00:00:00,East,Smartwatch,Frank,18,1023,Accessories,18414,13333.3022,5080.697801
2024-09-08 00:00:00,South,Camera,Charlie,19,1627,Electronics,30913,22009.79303,8903.206967
2024-07-06 00:00:00,South,Printer,Hannah,15,1829,Office,27435,21107.80909,6327.190908
2024-02-10 00:00:00,South,Headphones,Charlie,8,222,Accessories,1776,1099.541013,676.458987
2024-06-05 00:00:00,South,Smartwatch,Eva,19,1771,Accessories,33649,29030.53856,4618.46144
2024-01-15 00:00:00,North,Headphones,Bob,10,1536,Accessories,15360,13019.05218,2340.947821
2024-10-27 00:00:00,South,Tablet,Charlie,7,1262,Electronics,8834,6218.388777,2615.611223
2024-03-05 00:00:00,West,Printer,Grace,18,1352,Office,24336,18739.83306,5596.166944
2024-12-10 00:00:00,East,Headphones,Frank,16,1397,Accessories,22352,19662.34605,2689.653947
2024-11-22 00:00:00,West,Tablet,Bob,6,538,Electronics,3228,2199.853075,1028.146925
2024-01-09 00:00:00,North,Laptop,Hannah,9,1121,Electronics,10089,8300.589359,1788.410641
2024-12-09 00:00:00,West,Headphones,Grace,13,661,Accessories,8593,5369.074326,3223.925674
2024-05-08 00:00:00,East,Printer,Charlie,8,217,Office,1736,1314.172214,421.8277856
2024-05-15 00:00:00,West,Monitor,,16,1837,Office,29392,25429.6862,3962.313804
2024-03-03 00:00:00,North,Smartwatch,David,13,1004,Accessories,13052,9991.472873,3060.527127
2024-05-18 00:00:00,South,Tablet,Eva,13,1606,Electronics,20878,16386.63796,4491.362044
2024-03-21 00:00:00,West,Smartwatch,Grace,17,494,Accessories,8398,7325.506436,1072.493564
2024-06-11 00:00:00,North,Printer,Alice,5,1826,Office,9130,7437.372793,1692.627207
2024-10-15 00:00:00,North,Mobile,Charlie,17,975,Electronics,16575,13405.21198,3169.788015
2024-09-17 00:00:00,East,Tablet,Grace,9,1583,Electronics,14247,11054.46395,3192.536051
2024-08-18 00:00:00,East,Headphones,Alice,2,1958,Accessories,3916,3093.235024,822.764976
2024-02-10 00:00:00,West,Tablet,Alice,18,1816,Electronics,32688,27494.25687,5193.74313
2024-01-28 00:00:00,South,Smartwatch,Frank,9,1034,Accessories,9306,8317.422922,988.5770781
2024-05-14 00:00:00,North,Laptop,Bob,6,1201,Electronics,7206,6042.93435,1163.06565
2024-07-19 00:00:00,West,Tablet,Frank,11,1051,Electronics,11561,9390.549993,2170.450007
2024-11-23 00:00:00,North,Headphones,Charlie,6,1535,Accessories,9210,5900.510513,3309.489487
2024-09-24 00:00:00,North,Mobile,Alice,6,174,Electronics,1044,882.3095773,161.6904227
2024-02-02 00:00:00,South,Monitor,Hannah,13,394,Office,5122,4204.128945,917.8710551
2024-02-17 00:00:00,South,Camera,Grace,11,1916,Electronics,21076,17516.88869,3559.111315
2024-03-02 00:00:00,West,Laptop,David,14,120,Electronics,1680,1124.472625,555.527375
2024-08-03 00:00:00,South,Monitor,Alice,2,1294,Office,2588,2254.233686,333.766314
2024-10-19 00:00:00,South,,Grace,8,1138,Electronics,9104,5728.094873,3375.905127
2024-04-08 00:00:00,West,Tablet,Hannah,,1334,Electronics,,,
2024-06-20 00:00:00,South,Smartwatch,David,3,659,Accessories,1977,1579.439201,397.5607987
2024-12-25 00:00:00,East,Printer,Frank,1,1209,Office,1209,969.756236,239.243764
2024-08-01 00:00:00,North,Smartwatch,Frank,19,1272,Accessories,24168,16772.52844,7395.471564
2024-02-04 00:00:00,North,,Bob,18,1823,Office,32814,26594.30099,6219.69901
2024-08-14 00:00:00,North,Headphones,Grace,17,471,Accessories,8007,5736.047945,2270.952055
2024-04-10 00:00:00,North,Smartwatch,Alice,13,1603,Accessories,20839,12504.49727,8334.502728
2024-05-10 00:00:00,West,Laptop,Eva,3,,Electronics,,,
