Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,Year,Month
2024-04-12,North,Smartwatch,Hannah,15.0,1224.0,Accessories,18360.0,16451.63426,1908.365740000001,2024,April
2024-12-14,North,Monitor,Eva,5.0,1321.0,Office,6605.0,4457.351727,2147.648273,2024,December
2024-09-27,North,Mobile,Bob,11.0,912.0,Electronics,10032.0,6563.644126,3468.355874,2024,September
2024-04-16,West,Monitor,Charlie,18.0,325.0,Office,5850.0,4320.807092,1529.192908,2024,April
2024-03-12,West,Headphones,Eva,13.0,1042.0,Accessories,13546.0,8270.122666,5275.877334000001,2024,March
2024-07-07,West,Monitor,Charlie,11.0,562.0,Office,6182.0,5177.519983,1004.4800169999999,2024,July
2024-01-21,West,Headphones,Charlie,14.0,336.0,Accessories,4704.0,4069.56211,634.4378900000002,2024,January
2024-04-12,East,Camera,Grace,18.0,1149.0,Electronics,20682.0,16665.80191,4016.1980900000017,2024,April
2024-05-01,East,Laptop,Grace,19.0,1244.0,Electronics,23636.0,16081.89912,7554.10088,2024,May
2024-08-02,South,Printer,Hannah,15.0,605.0,Office,9075.0,5780.290778,3294.7092220000004,2024,August
2024-03-28,East,Laptop,Eva,8.0,1834.0,Electronics,14672.0,12471.21007,2200.789930000001,2024,March
2024-04-09,North,Smartwatch,Alice,1.0,913.0,Accessories,913.0,643.0700355,269.9299645,2024,April
2024-12-25,West,Mobile,Charlie,4.0,866.0,Electronics,3464.0,2113.997353,1350.0026469999998,2024,December
2024-05-10,South,Camera,Charlie,2.0,1666.0,Electronics,3332.0,2988.749632,343.250368,2024,May
2024-05-29,South,Monitor,Charlie,16.0,1438.0,Office,23008.0,18475.43842,4532.561580000001,2024,May
2024-11-04,North,Monitor,Eva,3.0,1090.0,Office,3270.0,2845.738588,424.26141199999984,2024,November
2024-09-14,East,Tablet,Charlie,8.0,1920.0,Electronics,15360.0,12786.57915,2573.4208500000004,2024,September
2024-12-09,North,Tablet,Frank,6.0,717.0,Electronics,4302.0,3277.743938,1024.256062,2024,December
2024-10-20,West,Tablet,Charlie,16.0,1859.0,Electronics,29744.0,19173.18055,10570.819449999999,2024,October
2024-07-10,South,Smartwatch,Frank,16.0,372.0,Accessories,5952.0,4193.739581,1758.2604190000002,2024,July
2024-10-03,North,Headphones,Grace,7.0,331.0,Accessories,2317.0,1795.957831,521.0421690000001,2024,October
2024-06-09,North,Mobile,David,13.0,1543.0,Electronics,20059.0,17274.60428,2784.3957200000004,2024,June
2024-11-09,East,Tablet,Hannah,13.0,867.0,Electronics,11271.0,7671.070933,3599.929067,2024,November
2024-01-22,East,Camera,Eva,5.0,1565.0,Electronics,7825.0,4979.580076,2845.419924,2024,January
2024-09-09,South,Camera,Charlie,18.0,595.0,Electronics,10710.0,8221.528236,2488.471764,2024,September
2024-12-10,North,Monitor,Frank,18.0,1232.0,Office,22176.0,17366.21478,4809.785220000002,2024,December
2024-02-18,East,Tablet,Grace,2.0,1826.0,Electronics,3652.0,2479.914092,1172.085908,2024,February
2024-02-28,North,Mobile,Frank,10.0,601.0,Electronics,6010.0,4022.426297,1987.573703,2024,February
2024-06-18,North,Tablet,Hannah,13.0,1982.0,Electronics,25766.0,18545.18748,7220.8125199999995,2024,June
2024-07-06,North,Mobile,Bob,18.0,124.0,Electronics,2232.0,1736.401201,495.5987990000001,2024,July
2024-09-27,East,Camera,Alice,15.0,1310.0,Electronics,19650.0,15004.64768,4645.35232,2024,September
2024-06-23,West,Smartwatch,David,15.0,1751.0,Accessories,26265.0,22780.55384,3484.4461599999995,2024,June
2024-02-20,South,Printer,Hannah,13.0,437.0,Office,5681.0,3595.871841,2085.128159,2024,February
2024-12-29,West,Smartwatch,Grace,18.0,1160.0,Accessories,20880.0,12775.22482,8104.775180000001,2024,December
2024-02-24,North,Camera,Grace,15.0,1917.0,Electronics,28755.0,22452.24563,6302.754369999999,2024,February
2024-08-31,South,Mobile,Hannah,11.0,236.0,Electronics,2596.0,1653.709502,942.2904980000001,2024,August
2024-11-15,West,Smartwatch,Charlie,19.0,607.0,Accessories,11533.0,8666.671728,2866.3282720000007,2024,November
2024-05-10,East,Mobile,Bob,3.0,326.0,Electronics,978.0,866.0502816,111.94971840000005,2024,May
2024-11-02,East,Smartwatch,Charlie,7.0,419.0,Accessories,2933.0,2374.480781,558.5192189999998,2024,November
2024-05-14,South,Smartwatch,Charlie,14.0,1963.0,Accessories,27482.0,21579.88252,5902.117480000001,2024,May
2024-01-21,South,Mobile,Hannah,14.0,1015.0,Electronics,14210.0,10976.39467,3233.6053300000003,2024,January
2024-11-24,North,Headphones,Eva,13.0,1305.0,Accessories,16965.0,11092.76502,5872.234979999999,2024,November
2024-06-15,South,Smartwatch,Eva,12.0,1997.0,Accessories,23964.0,17488.79174,6475.208259999999,2024,June
2024-09-30,North,Tablet,Eva,9.0,185.0,Electronics,1665.0,1170.090492,494.90950799999996,2024,September
2024-03-29,North,Printer,Bob,1.0,1590.0,Office,1590.0,1408.616452,181.38354800000002,2024,March
2024-11-11,East,Camera,Charlie,19.0,1025.0,Electronics,19475.0,13100.75595,6374.244049999999,2024,November
2024-01-14,East,Headphones,Alice,11.0,152.0,Accessories,1672.0,1239.712612,432.28738799999996,2024,January
2024-08-29,West,Mobile,David,19.0,959.0,Electronics,18221.0,16060.42322,2160.5767799999994,2024,August
2024-09-21,East,Headphones,Eva,18.0,966.0,Accessories,17388.0,14549.48196,2838.518040000001,2024,September
2024-02-22,South,Laptop,Grace,1.0,1902.0,Electronics,1902.0,1488.313244,413.68675600000006,2024,February
2024-12-05,East,Smartwatch,Charlie,19.0,1922.0,Accessories,36518.0,25567.56851,10950.431489999999,2024,December
2024-09-20,South,Tablet,Bob,5.0,1619.0,Electronics,8095.0,5564.801555,2530.198445,2024,September
2024-02-04,West,Printer,Bob,3.0,1098.0,Office,3294.0,2139.228483,1154.7715170000001,2024,February
2024-07-24,East,Camera,Eva,2.0,199.0,Electronics,398.0,323.1308844,74.86911559999999,2024,July
2024-03-21,West,Headphones,Charlie,3.0,1089.0,Accessories,3267.0,2586.440446,680.5595539999999,2024,March
2024-02-19,South,Laptop,Alice,8.0,698.0,Electronics,5584.0,4822.815202,761.1847980000002,2024,February
2024-12-25,North,Smartwatch,David,16.0,502.0,Accessories,8032.0,7137.053896,894.9461039999997,2024,December
2024-01-02,West,Monitor,Hannah,6.0,495.0,Office,2970.0,2545.76305,424.23695,2024,January
2024-02-23,West,Monitor,Charlie,13.0,1650.0,Office,21450.0,13256.24027,8193.75973,2024,February
2024-04-15,South,Camera,Grace,16.0,514.0,Electronics,8224.0,6573.887542,1650.1124579999996,2024,April
2024-09-16,South,Headphones,Hannah,16.0,1038.0,Accessories,16608.0,13874.65077,2733.34923,2024,September
2024-11-05,West,Smartwatch,Charlie,3.0,1736.0,Accessories,5208.0,4658.965439,549.0345610000004,2024,November
2024-07-09,East,Smartwatch,Frank,13.0,776.0,Accessories,10088.0,7186.674957,2901.325043,2024,July
2024-08-05,West,Laptop,Bob,14.0,562.0,Electronics,7868.0,5121.788499,2746.2115009999998,2024,August
2024-02-13,South,Laptop,Grace,8.0,640.0,Electronics,5120.0,4382.105183,737.8948170000003,2024,February
2024-06-10,North,Smartwatch,David,12.0,1749.0,Accessories,20988.0,14591.6976,6396.3024000000005,2024,June
2024-07-20,North,Mobile,Eva,8.0,1742.0,Electronics,13936.0,10862.56249,3073.4375099999997,2024,July
2024-09-26,East,Smartwatch,Grace,9.0,1487.0,Accessories,13383.0,9595.188489,3787.811511,2024,September
2024-12-16,West,Camera,Charlie,1.0,1253.0,Electronics,1253.0,903.0344399,349.96556009999995,2024,December
2024-10-30,North,Smartwatch,Eva,6.0,183.0,Accessories,1098.0,900.0737994,197.92620060000002,2024,October
2024-09-27,West,Tablet,Charlie,19.0,370.0,Electronics,7030.0,4980.351039,2049.648961,2024,September
2024-08-02,South,Printer,Eva,11.0,343.0,Office,3773.0,3048.29172,724.7082799999998,2024,August
2024-09-08,North,Tablet,David,11.0,487.0,Electronics,5357.0,3237.227261,2119.772739,2024,September
2024-07-08,East,Tablet,Bob,13.0,313.0,Electronics,4069.0,2837.697069,1231.3029310000002,2024,July
2024-10-22,South,Mobile,David,11.0,917.0,Electronics,10087.0,7017.659143,3069.340857,2024,October
2024-07-31,East,Mobile,Frank,18.0,1289.0,Electronics,23202.0,19133.54289,4068.4571099999994,2024,July
2024-07-26,South,Monitor,Alice,15.0,1914.0,Office,28710.0,19935.28044,8774.719560000001,2024,July
2024-08-24,North,Smartwatch,Bob,1.0,158.0,Accessories,158.0,124.8197061,33.180293899999995,2024,August
2024-12-03,East,Tablet,David,7.0,1725.0,Electronics,12075.0,9739.179647,2335.820352999999,2024,December
2024-02-22,East,Mobile,Frank,13.0,982.0,Electronics,12766.0,10181.23815,2584.761850000001,2024,February
2024-10-06,South,Laptop,Alice,12.0,942.0,Electronics,11304.0,8828.289531,2475.7104689999996,2024,October
2024-08-04,East,Smartwatch,Frank,18.0,1023.0,Accessories,18414.0,13333.3022,5080.6978,2024,August
2024-09-08,South,Camera,Charlie,19.0,1627.0,Electronics,30913.0,22009.79303,8903.20697,2024,September
2024-07-06,South,Printer,Hannah,15.0,1829.0,Office,27435.0,21107.80909,6327.190910000001,2024,July
2024-02-10,South,Headphones,Charlie,8.0,222.0,Accessories,1776.0,1099.541013,676.458987,2024,February
2024-06-05,South,Smartwatch,Eva,19.0,1771.0,Accessories,33649.0,29030.53856,4618.461439999999,2024,June
2024-01-15,North,Headphones,Bob,10.0,1536.0,Accessories,15360.0,13019.05218,2340.9478199999994,2024,January
2024-10-27,South,Tablet,Charlie,7.0,1262.0,Electronics,8834.0,6218.388777,2615.611223,2024,October
2024-03-05,West,Printer,Grace,18.0,1352.0,Office,24336.0,18739.83306,5596.166939999999,2024,March
2024-12-10,East,Headphones,Frank,16.0,1397.0,Accessories,22352.0,19662.34605,2689.65395,2024,December
2024-11-22,West,Tablet,Bob,6.0,538.0,Electronics,3228.0,2199.853075,1028.146925,2024,November
2024-01-09,North,Laptop,Hannah,9.0,1121.0,Electronics,10089.0,8300.589359,1788.4106410000004,2024,January
2024-12-09,West,Headphones,Grace,13.0,661.0,Accessories,8593.0,5369.074326,3223.925674,2024,December
2024-05-08,East,Printer,Charlie,8.0,217.0,Office,1736.0,1314.172214,421.82778600000006,2024,May
2024-03-03,North,Smartwatch,David,13.0,1004.0,Accessories,13052.0,9991.472873,3060.5271269999994,2024,March
2024-05-18,South,Tablet,Eva,13.0,1606.0,Electronics,20878.0,16386.63796,4491.36204,2024,May
2024-03-21,West,Smartwatch,Grace,17.0,494.0,Accessories,8398.0,7325.506436,1072.4935640000003,2024,March
2024-06-11,North,Printer,Alice,5.0,1826.0,Office,9130.0,7437.372793,1692.6272070000005,2024,June
2024-10-15,North,Mobile,Charlie,17.0,975.0,Electronics,16575.0,13405.21198,3169.78802,2024,October
2024-09-17,East,Tablet,Grace,9.0,1583.0,Electronics,14247.0,11054.46395,3192.5360500000006,2024,September
2024-08-18,East,Headphones,Alice,2.0,1958.0,Accessories,3916.0,3093.235024,822.7649759999999,2024,August
2024-02-10,West,Tablet,Alice,18.0,1816.0,Electronics,32688.0,27494.25687,5193.743129999999,2024,February
2024-01-28,South,Smartwatch,Frank,9.0,1034.0,Accessories,9306.0,8317.422922,988.5770780000003,2024,January
2024-05-14,North,Laptop,Bob,6.0,1201.0,Electronics,7206.0,6042.93435,1163.0656499999996,2024,May
2024-07-19,West,Tablet,Frank,11.0,1051.0,Electronics,11561.0,9390.549993,2170.4500069999995,2024,July
2024-11-23,North,Headphones,Charlie,6.0,1535.0,Accessories,9210.0,5900.510513,3309.489487,2024,November
2024-09-24,North,Mobile,Alice,6.0,174.0,Electronics,1044.0,882.3095773,161.6904227,2024,September
2024-02-02,South,Monitor,Hannah,13.0,394.0,Office,5122.0,4204.128945,917.8710549999996,2024,February
2024-02-17,South,Camera,Grace,11.0,1916.0,Electronics,21076.0,17516.88869,3559.1113100000002,2024,February
2024-03-02,West,Laptop,David,14.0,120.0,Electronics,1680.0,1124.472625,555.5273749999999,2024,March
2024-08-03,South,Monitor,Alice,2.0,1294.0,Office,2588.0,2254.233686,333.76631399999997,2024,August
2024-06-20,South,Smartwatch,David,3.0,659.0,Accessories,1977.0,1579.439201,397.5607990000001,2024,June
2024-12-25,East,Printer,Frank,1.0,1209.0,Office,1209.0,969.756236,239.24376400000006,2024,December
